solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg
tdma,cuda-cxx,4,64,64,2048,4096,512,512,8,10,host,0.001027452,0.00100923475
tdma,cuda-cxx,4,64,64,2048,4096,512,512,9,10,host,0.00101901,0.001000707
tdma,fortran-original,4,128,128,2048,16384,512,512,0,10,device,  1.5595953100000001E-01,  1.5593444525000000E-01
tdma,fortran-original,4,128,128,2048,16384,512,512,1,10,device,  1.1542419999999998E-03,  1.1479125000000007E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,2,10,device,  1.1641970000000057E-03,  1.1559697500000063E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,3,10,device,  1.3772969999999995E-03,  1.2128900000000012E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,4,10,device,  1.1545030000000012E-03,  1.1485965000000084E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,5,10,device,  1.1463210000000057E-03,  1.1429955000000006E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,6,10,device,  1.1549329999999969E-03,  1.1484584999999978E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,7,10,device,  1.1563950000000045E-03,  1.1485382499999974E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,8,10,device,  1.1527199999999960E-03,  1.1474617499999951E-03
tdma,fortran-original,4,128,128,2048,16384,512,512,9,10,device,  1.1573069999999963E-03,  1.1499154999999942E-03
tdma,cuda-cxx,4,128,128,2048,16384,512,512,0,10,host,0.090196082,0.0901680575
tdma,cuda-cxx,4,128,128,2048,16384,512,512,1,10,host,0.001412079,0.00139883925
tdma,cuda-cxx,4,128,128,2048,16384,512,512,2,10,host,0.001403847,0.00139269475
tdma,cuda-cxx,4,128,128,2048,16384,512,512,3,10,host,0.00139926,0.0013902615
tdma,cuda-cxx,4,128,128,2048,16384,512,512,4,10,host,0.001387452,0.00137739475
tdma,cuda-cxx,4,128,128,2048,16384,512,512,5,10,host,0.001389615,0.00137903925
